errata_header,errata_text,question,answer,applies_to
"Skitarii Hunter Cohort Detachment, Veiled Hunter Enhancement","Change to: | ‘SKITARII MARSHAL model only. After both players have deployed their armies, you can select up to three SKITARII INFANTRY units from your army and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.’",,,enhancement
"Hallowed Martyrs Detachment, Suffering and Sacrifice Stratagem, Effect section","Change to: | 'Until the end of the phase, each time an enemy model within Engagement Range of your unit selects its targets, it must select your unit as the target of its attacks.'",,,stratagem
"Anathema Psykana Rhino, Shield-Captain on Dawneagle Jetbike, Venerable Land Raider, Vertus Praetors – Keywords section",Add the 'FRAME' keyword.,,,datasheet: Anathema Psykana Rhino; datasheet: Shield-Captain on Dawneagle Jetbike; datasheet: Venerable Land Raider
"Guardian Battlehost Detachment, Breath of Vaul Enhancement","Change to: | '**ASURYANI** model only. While the bearer is leading a **STORM GUARDIANS** unit, each time you roll to determine the number of attacks made with a flamer equipped by a model in that unit, you can re‑roll the result, and each time you make a Damage roll for a model equipped with a fusion gun in that unit, you can re‑roll the result.'",,,enhancement
Land Raider Crusader – Keywords section,Add 'LAND RAIDER'.,,,datasheet: Land Raider Crusader
"Knight Castellan, Knight Valiant – Damaged Section","Change to: | ‘While this model has 1‑10 wounds remaining, subtract 5 from this model’s Objective Control characteristic and each time this model makes an attack, subtract 1 from the Hit roll.’",,,datasheet: Knight Castellan; datasheet: Knight Valiant
"Obeisance Phalanx Detachment, Worthy Foes Detachment Rule","Change to: | ‘In your Command phase, select one enemy unit. Until the start of your next Command phase, each time a **NOBLE**, **LYCHGUARD** or **TRIARCH** unit from your army makes an attack that targets that unit, add 1 to the Wound roll.",,,detachment
"Brood Brothers Auxilia Detachment, Regimental Reinforcements Stratagem, Effect Section","Change to: | ‘**EFFECT**: Roll one D6: on a 3+, place one Cult Ambush marker anywhere on the battlefield that is more than 8"" horizontally away from all enemy units (if this is not possible, no marker is placed) and add a new unit to your army identical to your destroyed unit, in Cult Ambush, at its Starting Strength, with all of its wounds remaining and any **[ONE SHOT]** weapons those models are equipped with considered as not having been shot.",,,stratagem
"Host of Ascension Detachment, Prowling Agitant Enhancement","Change to: | '**GENESTEALER CULTS** model only. In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,enhancement
"**Chaos Land Raider, Chaos Predator Annihilator, Chaos Predator Destructor, Chaos Rhino, Khorne Lord of Skulls – Keywords Section**",Add '**FRAME**'.,,,datasheet: Chaos Land Raider; datasheet: Chaos Predator Annihilator; datasheet: Chaos Predator Destructor; datasheet: Chaos Rhino; datasheet: Khorne Lord of Skulls
The following units lose the **Hover** core ability:,Harpy and Hive Crone.,,,datasheet: Harpy; datasheet: Hive Crone
"Lords of Dread Detachment, Mirror of Fates Enhancement","Change to: | '**CHAOS KNIGHTS** model only. Once per turn, when your opponent targets a unit from their army within 12” of this model with a stratagem, you can use this ability. If you do, increase the CP cost of that use of that stratagem by 1CP.'",,,enhancement
"Razorwing Jetfighter, Voidraven Bomber",■ **Core Abilities**: Remove 'Hover'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Razorwing Jetfighter; datasheet: Voidraven Bomber
,,Can Adeptus Mechanicus units use the Doctrina Imperatives ability when taken as part of the Questor Forgepact Detachment?,No.,detachment
"Obeisance Phalanx Detachment, Territorial Obsession Stratagem, Target Section",Change to: | ‘One **LYCHGUARD** or **TRIARCH** unit from your army.’,,,stratagem
"Green Tide Detachment, Tide of Muscle Stratagem, Effect Section","Change to: | ‘Until the end of the phase, each time your unit declares a charge, add 1 to the Charge roll and, if your unit contains 10 or more models, you can re-roll the Charge roll.",,,stratagem
"Gladius Task Force Detachment, Fire Discipline Enhancement","Change to: | '**ADEPTUS ASTARTES** model only. While the bearer is leading a unit, ranged weapons equipped by models in that unit have the **[SUSTAINED HITS 1]** ability. In addition, while the bearer’s unit is under the effects of the Devastator Doctrine, you can re-roll Advance rolls made for that unit.'",,,stratagem
"Unforgiven Task Force Detachment, Grim Resolve Detachment Rule","Change to: | ‘While an **ADEPTUS ASTARTES** unit from your army is Battle-shocked, change the Objective Control characteristic of models in that unit to 1 instead of '-'. | In your Command phase, you can select one **ADEPTUS ASTARTES** unit from your army. Until the start of your next Command phase, add 1 to the Objective Control characteristic of models in that unit.’",,,detachment
"Retaliation Cadre Detachment, Puretide Engram Neurochip Enhancement","Change to: | '**T'AU EMPIRE BATTLESUIT** model only. Each time you target the bearer’s unit with a Stratagem, roll one D6: on a 4+, you gain 1CP.'",,,enhancement
,,"When a model ‘fights on death’, can that model’s unit make a Dark Pact?","No, as the unit is not selected to fight.",
"Wolf Guard Headtakers, Headhunters Ability","Change to: | 'At the start of the battle, select one unit from your opponent’s army to be this unit’s quarry. Weapons equipped by **HEADTAKERS** models in this unit have the **[DEVASTATING WOUNDS]** and **[PRECISION]** abilities while targeting its quarry. Each time this unit’s quarry is destroyed, select one new enemy unit to be this unit’s quarry. This ability can be used even if this unit is embarked within a **TRANSPORT**.'",,,datasheet: Wolf Guard Headtakers
"Hernkyn Yaegirs, Pragmatic Hunters Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,datasheet: Hernkyn Yaegirs
"Slaanesh's Chosen Detachment, Refusal to be Outdone Stratagem, Effect Section","Change to: | - 'When this unit **declares a charge**, if an **engaged** enemy unit is within 12"" of this unit, you can use this ability. If you do: | - This unit can re-roll **charge rolls**. | - This unit must end that **charge move engaged** with one or more of those enemy units.",,,stratagem
Sanguinary Guard,"■ Encarmine blade: Change WS to '2+'. | ■ Encarmine spear: Change A to '4' and WS to '2+'. | ■ Wargear Options section: Change first and second bullets to: | ‘• Any number of models can each have their encarmine blade replaced with 1 encarmine spear. | • For every 3 models in this unit, 1 model’s Angelus boltgun can be replaced with 1 inferno pistol.’",,,datasheet: Sanguinary Guard
"Cadian Command Squad, Cadia Stands! Ability","Change to: | ‘'While this unit contains an **OFFICER** model and this unit is within range of an **objective**, this unit can re-roll **battle‑shock rolls**.'",,,datasheet: Cadian Command Squad
Callidus Assassin,"■ **Acrobatic Escape Ability**: Change 9"" to:8"". | ■ **Reign of Confusion Ability**: Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a **stratagem**, this model can use this ability. If you do increase the CP cost of that use of that **stratagem** by 1CP.'",,,datasheet: Callidus Assassin
"Warpforged Cabal Detachment, Ensorcelled Infusion Stratagem, Target Section","Change to: | ‘One **THOUSAND SONS VEHICLE** unit from your army that has not been selected to shoot this phase, that is within 6"" of one or more friendly **THOUSAND SONS PSYKER** units.’",,,stratagem
"Skorpius Disintegrator, Skorpius Dunerider – Keywords section",Add the 'FRAME' keyword.,,,datasheet: Skorpius Disintegrator; datasheet: Skorpius Dunerider
"Penitent Host Detachment, Desperate for Redemption Detachment Rule","Change first paragraph to: | ‘At the start of the battle round, you can select one of the following Vows of Atonement to be active for your army until the start of the next battle round. You can only select each Vow of Atonement once per battle.'",,,detachment
"Shield-Captain on Dawneagle Jetbike and Vertus Praetors, Ranged Weapons","■ **Salvo launcher**: Add **[TWIN-LINKED]**, change Strength to '10', AP to '-3', and Damage to 'D6+1'. | ■ **Vertus hurricane bolter**: Change AP to '-1' and Damage to '2'.",,,datasheet: Shield-Captain on Dawneagle Jetbike; datasheet: Vertus Praetors
"Seer Council Detachment, Unshrouded Truth Stratagem, Target Section","Change to: | 'One **ASURYANI INFANTRY** unit from your army (excluding **WRAITH CONSTRUCT** units) that has not been selected to move this phase, was not set up on the battlefield this phase, and is within 8"" of one or more friendly **ASURYANI PSYKER** models.'",,,stratagem
"Terminator Squad, Teleport Homer Ability","Change 9"" to 8"".",,,datasheet: Terminator Squad
"Kairos Fateweaver, One Head Looks Back Ability","Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a stratagem, you can use this ability. If you do, increase the CP cost of the use of that stratagem by 1CP.'",,,datasheet: Kairos Fateweaver
,,"When using the Daemonic Pact rule to add **LEGIONES DAEMONICA** units to my army, are any of the Shadow of Chaos army rules in effect (including Daemonic Manifestation and Daemonic Terror)?",No.,army rule: Daemonic Pact
"Warpmeld Pact Detachment, Warpmeld Sacrifice Detachment Rule","Change to: | ‘Each time an enemy unit is selected to shoot or fight and one or more **TZEENTCH MUTANT INFANTRY** or **TZEENTCH MUTANT MOUNTED** units from your army are selected as a target of one or more of those attacks, each of those **TZEENTCH MUTANT** units can make a Warpmeld Sacrifice. If it does, until the end of the phase, each time an attack targets that unit, subtract 1 from the Wound roll. At the end of the phase, that **TZEENTCH MUTANT** unit suffers D3 mortal wounds. | Each time a **TZEENTCH MUTANT INFANTRY** or **TZEENTCH MUTANT MOUNTED** unit from your army is selected to shoot or fight, before selecting its targets, that unit can make a Warpmeld Sacrifice. If it does, until the end of the phase, each time a model in that unit makes an attack, add 1 to the Wound roll. At the end of the phase, that **TZEENTCH MUTANT** unit suffers D3 mortal wounds.’",,,detachment
"Gladius Task Force Detachment, Storm of Fire Stratagem, Target Section",Change to: | 'One **ADEPTUS ASTARTES** unit from your army that has not been selected to shoot this phase.',,,stratagem
"The following units have **M** and **OC** of ""-"":",Harpy and Hive Crone.,,,datasheet: Harpy; datasheet: Hive Crone
